290843 	-0.172233 	0.583705 	-1.24491 	-1.55888 	1.24379 	
17.06	0.290498 	-0.172304 	0.583325 	-1.16725 	-1.55846 	1.16582 	
17.065	0.290504 	-0.172302 	0.583327 	-1.16872 	-1.55847 	1.16729 	
17.07	0.290511 	-0.1723 	0.58333 	-1.17047 	-1.55848 	1.16904 	
17.075	0.290518 	-0.172298 	0.583334 	-1.17249 	-1.55849 	1.17106 	
17.08	0.290525 	-0.172296 	0.58334 	-1.17477 	-1.5585 	1.17334 	
17.085	0.290532 	-0.172295 	0.583346 	-1.17729 	-1.55852 	1.17586 	
17.09	0.29054 	-0.172293 	0.583353 	-1.18005 	-1.55853 	1.17863 	
17.095	0.290549 	-0.172292 	0.583361 	-1.18303 	-1.55855 	1.1816 	
17.1	0.290557 	-0.17229 	0.583369 	-1.18623 	-1.55856 	1.1848 	
17.105	0.290566 	-0.172289 	0.583379 	-1.18963 	-1.55858 	1.1882 	
17.11	0.290575 	-0.172288 	0.583389 	-1.19323 	-1.5586 	1.1918 	
17.115	0.290584 	-0.172288 	0.5834 	-1.19698 	-1.55862 	1.19555 	
17.12	0.290593 	-0.172287 	0.583411 	-1.20086 	-1.55864 	1.19942 	
17.125	0.290603 	-0.172286 	0.583422 	-1.20484 	-1.55866 	1.2034 	
17.13	0.290612 	-0.172286 	0.583434 	-1.2089 	-1.55868 	1.20745 	
17.135	0.290621 	-0.172285 	0.583446 	-1.21302 	-1.5587 	1.21157 	
17.14	0.29063 	-0.172285 	0.583458 	-1.21719 	-1.55872 	1.21574 	
17.145	0.290639 	-0.172285 	0.583471 	-1.22141 	-1.55874 	1.21996 	
17.15	0.290648 	-0.172285 	0.583483 	-1.22565 	-1.55876 	1.22419 	
17.155	0.290657 	-0.172285 	0.583496 	-1.22989 	-1.55878 	1.22842 	
17.16	0.290666 	-0.172285 	0.583508 	-1.23413 	-1.5588 	1.23265 	
17.165	0.290674 	-0.172286 	0.583521 	-1.23836 	-1.55882 	1.23688 	
17.17	0.290682 	-0.172286 	0.583533 	-1.24259 	-1.55884 	1.2411 	
17.175	0.29069 	-0.172287 	0.583546 	-1.2468 	-1.55886 	1.24531 	
17.18	0.290698 	-0.172287 	0.583558 	-1.25098 	-1.55888 	1.24948 	
17.185	0.290705 	-0.172288 	0.58357 	-1.2551 	-1.5589 	1.25359 	
17.19	0.290713 	-0.172289 	0.583582 	-1.25916 	-1.55891 	1.25765 	
17.195	0.29072 	-0.17229 	0.583594 	-1.26314 	-1.55893 	1.26161 	
17.2	0.290726 	-0.172291 	0.583605 	-1.26702 	-1.55895 	1.26549 	
17.205	0.290732 	-0.172292 	0.583616 	-1.27078 	-1.55896 	1.26924 	
17.21	0.290738 	-0.172294 	0.583627 	-1.27441 	-1.55898 	1.27286 	
17.215	0.290743 	-0.172295 	0.583637 	-1.27787 	-1.55899 	1.27632 	
17.22	0.290748 	-0.172296 	0.583646 	-1.28119 	-1.559 	1.27962 	
17.225	0.290753 	-0.172298 	0.583655 	-1.28435 	-1.55902 	1.28278 	
17.23	0.290757 	-0.1723 	0.583664 	-1.28737 	-1.55903 	1.28579 	
17.235	0.29076 	-0.172301 	0.583672 	-1.29024 	-1.55904 	1.28865 	
17.24	0.290764 	-0.172303 	0.583679 	-1.29295 	-1.55905 	1.29135 	
17.245	0.290766 	-0.172305 	0.583687 	-1.2955 	-1.55906 	1.29389 	
17.25	0.290769 	-0.172307 	0.583693 	-1.2979 	-1.55907 	1.29628 	
17.255	0.29077 	-0.172309 	0.583699 	-1.30019 	-1.55908 	1.29856 	
17.26	0.290772 	-0.172311 	0.583706 	-1.3024 	-1.55908 	1.30076 	
17.265	0.290773 	-0.172314 	0.583712 	-1.30453 	-1.55909 	1.30288 	
17.27	0.290773 	-0.172316 	0.583718 	-1.30659 	-1.5591 	1.30493 	
17.275	0.290773 	-0.172319 	0.583723 	-1.30857 	-1.55911 	1.3069 	
17.28	0.290773 	-0.172322 	0.583729 	-1.31043 	-1.55911 	1.30875 	
17.285	0.290772 	-0.172325 	0.583734 	-1.3122 	-1.55912 	1.3105 	
17.29	0.290771 	-0.172328 	0.583739 	-1.31388 	-1.55913 	1.31217 	
17.295	0.290769 	-0.172331 	0.583743 	-1.31548 	-1.55913 	1.31376 	
17.3	0.290767 	-0.172335 	0.583748 	-1.31699 	-1.55914 	1.31525 	
17.305	0.290764 	-0.172338 	0.583752 	-1.31841 	-1.55914 	1.31666 	
17.31	0.290762 	-0.172342 	0.583756 	-1.31971 	-1.55915 	1.31795 	
17.315	0.290759 	-0.172345 	0.58376 	-1.3209 	-1.55915 	1.31913 	
17.32	0.290755 	-0.172349 	0.583763 	-1.32199 	-1.55915 	1.3202 	
17.325	0.290752 	-0.172352 	0.583766 	-1.32297 	-1.55916 	1.32117 	
17.33	0.290748 	-0.172356 	0.583769 	-1.32384 	-1.55916 	1.32203 	
17.335	0.290744 	-0.172359 	0.583771 	-1.32462 	-1.55916 	1.3228 	
17.34	0.290739 	-0.172363 	0.583773 	-1.32531 	-1.55917 	1.32347 	
17.345	0.290735 	-0.172366 	0.583775 	-1.32589 	-1.55917 	1.32404 	
17.35	0.29073 	-0.17237 	0.583776 	-1.32639 	-1.55917 	1.32453 	
17.355	0.290725 	-0.172373 	0.583778 	-1.32683 	-1.55917 	1.32495 	
17.36	0.29072 	-0.172377 	0.583779 	-1.3272 	-1.55917 	1.32532 	
17.365	0.290715 	-0.17238 	0.58378 	-1.32751 	-1.55918 	1.32561 	
17.37	0.29071 	-0.172384 	0.58378 	-1.32774 	-1.55918 	1.32583 	
17.375	0.290704 	-0.172387 	0.58378 	-1.32787 	-1.55918 	1.32595 	
17.38	0.290699 	-0.17239 	0.58378 	-1.32789 	-1.55918 	1.32596 	
17.385	0.290693 	-0.172393 	0.58378 	-1.32778 	-1.55918 	1.32583 	
17.39	0.290687 	-0.172397 	0.583779 	-1.32755 	-1.55918 	1.32559 	
17.395	0.290681 	-0.1724 	0.583778 	-1.32722 	-1.55918 	1.32525 	
17.4	0.290675 	-0.172403 	0.583776 	-1.3268 	-1.55918 	1.32482 	
17.405	0.290668 	-0.172406 	0.583774 	-1.3263 	-1.55918 	1.32431 	
17.41	0.290662 	-0.172408 	0.583772 	-1.32573 	-1.55917 	1.32374 	
17.415	0.290655 	-0.172411 	0.58377 	-1.32509 	-1.55917 	1.32308 	
17.42	0.290648 	-0.172414 	0.583767 	-1.32437 	-1.55917 	1.32236 	
17.425	0.290642 	-0.172416 	0.583764 	-1.32356 	-1.55917 	1.32154 	
17.43	0.290635 	-0.172419 	0.583761 	-1.32268 	-1.55917 	1.32065 	
17.435	0.290628 	-0.172421 	0.583758 	-1.32172 	-1.55916 	1.31969 	
17.44	0.290621 	-0.172423 	0.583754 	-1.32069 	-1.55916 	1.31864 	
17.445	0.290613 	-0.172425 	0.58375 	-1.31956 	-1.55916 	1.31751 	
17.45	0.290606 	-0.172427 	0.583746 	-1.31833 	-1.55915 	1.31627 	
17.455	0.290599 	-0.172428 	0.583741 	-1.31697 	-1.55915 	1.31491 	
17.46	0.290592 	-0.17243 	0.583735 	-1.31548 	-1.55914 	1.31342 	
17.465	0.290585 	-0.172431 	0.58373 	-1.31389 	-1.55914 	1.31182 	
17.47	0.290577 	-0.172432 	0.583724 	-1.31222 	-1.55913 	1.31015 	
17.475	0.29057 	-0.172432 	0.583717 	-1.31051 	-1.55913 	1.30843 	
17.48	0.290563 	-0.172432 	0.583711 	-1.30876 	-1.55912 	1.30669 	
17.485	0.290556 	-0.172433 	0.583704 	-1.30698 	-1.55911 	1.3049 	
17.49	0.290549 	-0.172432 	0.583697 	-1.30515 	-1.55911 	1.30308 	
17.495	0.290543 	-0.172432 	0.58369 	-1.30329 	-1.5591 	1.30122 	
17.5	0.290536 	-0.172431 	0.583683 	-1.3014 	-1.55909 	1.29933 	
17.505	0.29053 	-0.17243 	0.583676 	-1.29948 	-1.55909 	1.29741 	
17.51	0.290524 	-0.172429 	0.583668 	-1.29755 	-1.55908 	1.29548 	
17.515	0.290518 	-0.172428 	0.583661 	-1.29562 	-1.55907 	1.29356 	
17.52	0.290512 	-0.172426 	0.583653 	-1.29371 	-1.55907 	1.29166 	
17.525	0.290506 	-0.172424 	0.583645 	-1.29179 	-1.55906 	1.28975 	
17.53	0.290501 	-0.172422 	0.583638 	-1.28987 	-1.55905 	1.28784 	
17.535	0.290496 	-0.172419 	0.58363 	-1.28794 	-1.55905 	1.28591 	
17.54	0.290491 	-0.172416 	0.583622 	-1.28597 	-1.55904 	1.28396 	
17.545	0.290486 	-0.172413 	0.583613 	-1.28399 	-1.55903 	1.28199 	
17.55	0.290482 	-0.17241 	0.583605 	-1.282 	-1.55903 	1.28 	
17.555	0.290477 	-0.172406 	0.583597 	-1.28003 	-1.55902 	1.27805 	
17.56	0.290474 	-0.172402 	0.583589 	-1.27812 	-1.55901 	1.27615 	
17.565	0.29047 	-0.172398 	0.583581 	-1.2763 	-1.559 	1.27435 	
17.57	0.290467 	-0.172395 	0.583573 	-1.27461 	-1.559 	1.27267 	
